tokens,vocab_size
17795036,736
17796108,737
17806206,738
17806759,739
17810564,740
17815741,741
17829885,742
17830900,743
17832958,744
17885883,745
17888671,746
17891519,747
17901105,748
17902609,749
17915565,750
17916966,751
17918368,752
17953837,753
17954288,754
17964698,755
17991568,756
17993696,757
18004260,758
18010823,759
18013931,760
18040858,761
18051346,762
18051366,763
18055293,764
18055391,765
18055450,766
18059704,767
18066782,768
18067087,769
18068490,770
18076929,771
18080120,772
18093680,773
18096641,774
18101067,775
18101903,776
18108538,777
18110301,778
18127018,779
18182037,780
18187405,781
18194871,782
18195292,783
18195486,784
18196798,785
18200835,786
18214370,787
18221704,788
18224411,789
18227802,790
18232579,791
18237281,792
18238540,793
18257939,794
18316408,795
18342420,796
18351952,797
18418235,798
18425394,799
18470183,800
18481361,801
18495695,802
18499889,803
18500969,804
18565661,805
18576983,806
18580059,807
18674769,808
18686975,809
18688898,810
18698316,811
18698615,812
18700652,813
18751748,814
18763665,815
18770431,816
18776362,817
18796118,818
18802366,819
18862649,820
18866776,821
18876772,822
18900695,823
18914525,824
18980862,825
18987782,826
18990250,827
19005127,828
19005765,829
19030193,830
19037191,831
19042871,832
19045322,833
19062378,834
19067395,835
19082754,836
19085826,837
19088099,838
19097054,839
19100483,840
19103007,841
19103851,842
19103978,843
19104550,844
19105076,845
19110053,846
19163596,847
19182821,848
19191687,849
19223155,850
19242096,851
19254472,852
19265141,853
19276083,854
19287000,855
19289728,856
19290383,857
19299375,858
19331586,859
19344073,860
19355455,861
19372316,862
19399750,863
19399950,864
19401671,865
19410522,866
19416359,867
19418068,868
19438969,869
19470947,870
19475095,871
19518308,872
19518618,873
19526523,874
19529996,875
19558852,876
19560103,877
19571709,878
19595981,879
19641509,880
19644436,881
19652417,882
19661959,883
19665790,884
19671585,885
19686913,886
19688811,887
19690101,888
19696525,889
19697217,890
19701592,891
19701650,892
19701944,893
19703421,894
19707022,895
19725343,896
19727309,897
19729321,898
19744320,899
19746773,900
19775079,901
19805200,902
19808222,903
19828673,904
19848351,905
19862509,906
19864059,907
19866222,908
19920459,909
19925122,910
19926163,911
19957750,912
19960380,913
19980329,914
19986508,915
19986927,916
19996210,917
20039350,918
20040311,919
20052604,920
20053377,921
20089027,922
20104137,923
20115903,924
20126910,925
20128379,926
20185122,927
20186602,928
20190381,929
20191180,930
20197504,931
20200685,932
20201811,933
20210096,934
20215258,935
20216350,936
20227682,937
20230909,938
20240697,939
20247085,940
20257877,941
20263798,942
20265829,943
20274812,944
20300710,945
20304605,946
20310615,947
20312197,948
20326796,949
20331505,950
20332760,951
20341115,952
20369109,953
20382209,954
20396816,955
20411204,956
20416100,957
20416261,958
20418539,959
20430872,960
20431623,961
20448065,962
20448214,963
20450356,964
20454676,965
20482622,966
20483093,967
20510956,968
20520531,969
20527927,970
20546000,971
20550128,972
20552123,973
20560034,974
20573846,975
20586972,976
20594595,977
20597386,978
20609686,979
20611818,980
20617022,981
20628291,982
20658635,983
20669279,984
20672009,985
20679318,986
20682340,987
20687586,988
20692563,989
20700514,990
20703686,991
20724750,992
20728150,993
20728652,994
20728753,995
20738379,996
20738432,997
20759016,998
20767509,999
20774782,1000
20780899,1001
20781474,1002
20789309,1003
20809786,1004
20814027,1005
20814513,1006
20814722,1007
20819110,1008
